"filename", "language", "JSON", "JavaScript", "TypeScript JSX", "CSS", "JavaScript JSX", "Markdown", "HTML", "comment", "blank", "total"
"d:\Programming\Projects\library\server\src\router\auth\applicants\email-sign-on.applicants.auth.router.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 6, 23, 127
"d:\Programming\Projects\library\server\src\router\auth\auth.router.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 50, 16, 103
"d:\Programming\Projects\library\server\src\router\auth\email-sign-on\email-sign-on-jwt.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Programming\Projects\library\server\src\router\auth\email-sign-on\email-sign-on.router.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 0, 16, 114
"d:\Programming\Projects\library\server\src\router\auth\passport\jwt.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"d:\Programming\Projects\library\server\src\router\auth\students\email-sign-on.student.auth.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 9, 49
"d:\Programming\Projects\library\server\src\router\auth\students\students-router.auth.router.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"d:\Programming\Projects\library\server\src\router\router.js", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 1, 17, 115
"d:\Programming\Projects\library\server\src\router\student\issue-history\issue-history.router.student.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"d:\Programming\Projects\library\server\src\secrets.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Programming\Projects\library\server\src\services\email-templates.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 0, 4, 93
"d:\Programming\Projects\library\server\src\services\mongo-functions.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Programming\Projects\library\server\src\services\mongo.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 10, 10, 56
"d:\Programming\Projects\library\server\src\services\nodemailer.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Programming\Projects\library\server\src\utils\custom-response-codes.js", "JavaScript", 0, 216, 0, 0, 0, 0, 0, 0, 3, 219
"d:\Programming\Projects\library\server\src\utils\excel-bulk.entry.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 3, 11, 66
"d:\Programming\Projects\library\server\src\utils\functions.js", "JavaScript", 0, 95, 0, 0, 0, 0, 0, 3, 16, 114
"Total", "-", 22123, 4561, 9, 12, 7562, 38, 23, 156, 1354, 35838
